survid,TOTALWGT,var001,var002,var003,var004,var005,var006,var007,var008,var009,var010,var011,var012,var013,var014,var015,var016,var017,var018,var019,var020,var021,var022,var023,var024,var025,var026,var027,var028,var029,var030,var031,var032,var033,var034,var035,var036,var037,var038,var041,var048,var049,var050,var051,var052,var053,var054,var055,var056,var057,var059,var060,var061,var062,var063,var064,var069,var301,var302,var305,var310,var311
4917,0.66,4,1,2,1,1,1,1,3,3,3,2,2,2,,,,,88,1,1,3,1,2,1,88,4,70,1,2,70,12,1,,1,2,7,8,16,2,2,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,1,1,1,4,2
4918,0.25,4,1,2,5,3,2,2,3,3,3,2,5,2,,,,,88,1,1,2,1,88,,,1,86,1,3,46,12,1,,2,2,7,8,3,2,1,2,2,2,,2,,1,1,,2,3,5,1,1,1,2,,4,1,5,2
4931,0.66,4,1,2,3,1,1,1,2,3,3,2,1,2,,,,,88,1,1,1,3,4,1,88,2,84,1,1,64,12,4,,3,2,7,8,6,2,1,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,2,1,,2
4937,2.07,4,1,1,3,3,3,4,3,3,3,5,1,2,,,,,88,1,1,3,1,88,,,4,66,2,2,30,12,1,,1,2,7,8,14,2,2,2,2,2,,2,,1,1,,1,3,5,1,2,3,2,2,5,,4,2
4945,0.66,4,1,2,3,2,2,2,3,3,3,2,1,2,,,,,88,1,2,2,2,3,1,88,2,86,1,2,36,12,1,,1,2,7,8,7,2,1,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,1,1,4,2
4966,0.54,4,1,2,1,1,1,2,3,3,3,1,2,2,,,,,4,2,1,2,4,88,,,4,45,1,3,44,12,1,,5,2,7,,77,2,2,2,2,2,,2,3,1,1,,2,2,3,1,,,2,1,2,1,3,2
4971,2.78,4,1,1,3,2,1,2,3,3,3,2,2,1,1,,,,2,1,2,3,2,5,1,88,2,69,2,3,40,12,1,,1,2,7,1,7,2,1,1,2,2,,2,,1,1,,1,3,5,1,1,2,2,1,1,1,3,2
4988,0.66,4,1,2,1,2,1,1,3,3,3,2,3,2,,,,,1,1,1,2,2,15,1,88,3,69,1,2,45,12,1,,1,2,7,8,14,2,1,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,1,1,2,2
5018,0.66,4,1,2,2,1,4,3,3,3,3,3,3,2,,,,,88,1,1,2,1,25,3,2,3,71,1,2,40,12,1,,1,2,7,1,20,2,1,1,1,1,,1,,1,1,,2,3,5,1,2,3,2,2,1,1,3,2
5031,0.67,4,1,2,2,2,2,4,3,3,3,2,2,2,,,,,88,1,1,3,2,88,,,3,66,1,2,44,12,3,,1,2,7,6,99,2,1,2,2,2,,2,,1,1,,2,3,5,1,,,2,2,1,2,3,2
5514,0.86,10,1,2,1,1,2,1,3,3,3,2,2,1,1,,,,88,1,1,2,1,88,,,3,82,1,2,20,8,1,,1,2,7,8,99,2,1,2,2,2,,2,,1,1,,2,3,5,1,,,2,2,1,2,3,2
5543,0.86,10,1,2,2,1,1,1,3,3,3,2,2,2,,,,,88,1,1,2,3,88,,,3,73,1,2,48,12,1,,1,2,7,1,77,2,1,2,2,2,,2,,1,1,,2,3,5,1,,,2,1,1,1,3,2
5574,1.82,10,1,1,1,2,3,1,3,3,3,2,2,2,,,,,88,1,2,3,2,5,1,88,2,68,2,2,44,12,1,,1,2,7,3,20,2,1,1,2,2,,2,,1,1,,1,3,5,1,2,3,2,1,2,1,,2
5714,1.82,10,1,1,1,2,2,1,2,3,3,2,2,2,,,,,88,1,1,3,3,2,1,88,3,70,2,1,46,12,6,1,5,2,7,2,20,2,1,1,2,2,,2,,1,1,,1,3,5,1,2,3,2,2,2,1,3,2
5721,0.76,10,1,2,1,2,2,2,2,3,1,1,1,2,,,,,2,1,1,1,2,20,2,4,1,46,1,1,12,12,6,1,5,2,7,1,12,1,1,1,2,1,,1,1,1,1,,2,2,3,1,2,3,2,2,2,1,5,2
5750,0.76,10,1,2,2,2,1,3,2,2,3,2,3,1,1,,,,88,1,1,2,2,25,2,1,3,52,1,3,25,12,6,1,1,2,7,1,20,2,1,1,2,1,,1,1,1,1,,2,2,3,1,2,3,2,2,2,2,2,2
5837,1.86,10,1,1,2,2,3,3,3,2,2,,2,2,,,,,88,1,3,3,3,30,1,88,4,89,2,2,30,12,1,,1,2,7,8,99,2,2,1,1,2,,1,,1,1,,1,3,5,1,,,2,1,1,2,4,2
5843,0.85,10,1,2,1,1,1,1,2,3,3,2,2,2,,,,,88,1,1,3,2,88,,,4,81,1,1,56,12,1,,3,2,7,8,12,2,2,2,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,1,1,2,2
5850,1.63,10,1,1,3,4,3,1,2,2,2,3,3,2,,,,,2,2,2,2,1,3,1,88,1,42,2,5,40,12,6,1,1,2,7,2,17,1,1,1,2,2,,2,1,1,1,,1,2,2,1,2,3,2,2,4,2,,2
5877,1.74,10,1,1,1,2,1,3,3,3,2,,2,2,,,,,88,1,2,3,2,15,1,88,3,65,,2,40,12,1,,1,,,8,99,2,1,1,2,2,,2,,1,1,,1,3,5,,,,2,2,3,1,,2
5889,1.63,10,1,1,1,2,1,1,3,2,3,2,4,2,,,,,2,1,1,3,2,30,2,88,1,62,2,2,35,12,6,1,1,2,7,2,15,2,1,1,1,2,,1,1,1,1,,1,2,4,1,2,3,2,1,1,1,2,2
6042,1.63,10,1,1,1,1,1,1,3,3,3,3,4,2,,,,,88,1,2,3,3,20,2,88,4,59,2,2,35,12,6,1,1,2,7,1,20,2,2,1,1,2,,1,1,1,1,,1,2,4,1,2,3,2,1,2,1,,2
6342,0.43,6,1,2,3,2,2,3,3,3,3,3,1,2,,,,,88,1,2,2,5,3,1,88,3,30,1,4,25,12,2,,1,2,7,6,6,2,1,1,2,2,,2,4,1,1,,2,1,1,1,1,2,2,2,2,1,3,2
6357,0.39,6,1,2,2,2,2,3,3,3,3,2,2,2,,,,,2,1,1,1,2,15,2,1,4,28,1,6,25,12,6,1,1,2,7,1,16,2,2,1,2,1,,1,1,1,1,,2,1,1,1,2,3,2,2,2,1,2,2
6372,1.35,6,1,2,3,2,2,2,3,2,3,4,5,2,,,,,88,1,1,2,1,88,,,1,35,1,4,4,10,6,3,1,1,7,6,16,2,1,2,2,2,,2,6,2,1,,2,1,2,3,2,3,2,2,1,1,5,2
6377,0.28,6,1,2,2,2,3,2,3,3,3,4,4,2,,,,,88,1,1,2,1,12,2,88,4,79,1,2,40,12,1,,1,2,7,8,11,2,2,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,2,1,1,2
6380,1,6,1,1,5,3,1,1,3,3,3,1,1,2,,,,,88,1,1,2,3,88,,,4,35,2,2,35,12,6,1,1,2,7,3,13,2,2,2,2,2,2,2,1,1,1,,1,1,2,1,2,3,2,1,1,1,1,2
6383,1.26,6,1,1,1,1,2,1,3,3,3,2,5,2,,,,,2,1,1,3,1,30,10,88,2,63,2,2,2,12,6,1,1,2,7,8,99,2,1,1,1,2,,1,1,1,1,,1,2,4,1,,,2,1,1,1,3,2
6385,0.28,6,1,2,1,1,2,1,3,3,3,1,2,2,,,,,88,2,2,2,2,20,2,2,4,65,1,2,888,5,1,,1,2,7,8,20,2,2,1,2,1,,1,,1,1,,2,3,5,1,2,3,2,1,1,1,,2
6390,1.17,6,1,1,2,3,3,3,3,3,3,4,4,2,,,,,2,2,2,2,4,88,,,1,48,2,4,47,12,6,2,1,2,7,1,16,2,1,2,2,2,,2,2,1,1,,1,2,3,1,2,3,2,2,3,4,5,2
6401,0.28,6,1,2,2,2,2,2,2,3,3,2,2,2,,,,,88,1,1,2,2,20,1,88,4,68,1,2,47,12,1,,1,2,7,8,9,2,2,1,2,2,,2,,1,1,,2,3,5,1,2,3,2,1,2,1,,2
6403,0.28,6,1,2,1,2,3,2,2,3,2,,2,1,2,5,5,,20,1,2,2,,88,,,1,75,1,3,19,12,1,,1,2,7,8,16,2,1,2,2,2,,2,,1,1,,2,3,5,1,2,3,1,1,1,1,3,2
6427,0.3,6,1,2,1,2,3,4,3,3,3,2,3,2,,,,,3,2,3,2,2,2,3,1,1,68,1,4,21,12,1,,1,2,7,8,77,2,1,1,2,1,,1,,1,1,,2,3,5,1,,,2,1,2,1,3,2
6462,1,6,1,1,2,2,2,2,3,3,3,2,2,2,,,,,88,1,2,2,2,4,3,2,3,38,2,4,13,12,6,1,1,2,7,3,14,2,1,1,2,1,1,1,1,1,1,,1,1,2,1,2,3,2,2,2,2,2,2
6467,0.73,6,1,1,3,2,3,2,3,3,3,2,,2,,,,,88,1,1,2,1,15,2,88,1,65,2,2,43,9,1,,1,2,7,3,20,2,1,1,1,2,,1,,1,1,,1,3,5,1,2,3,2,2,2,1,3,2
6477,0.46,6,1,2,1,1,2,2,3,3,3,1,1,2,,,,,88,2,2,3,2,30,1,88,4,63,1,2,3,12,6,1,1,2,7,8,14,2,2,1,2,2,,2,1,1,1,,2,2,4,1,2,3,2,1,1,2,,2
6578,1.86,2,1,2,1,2,1,1,3,3,3,1,2,1,1,,,,88,1,1,1,1,10,1,88,1,54,1,5,34,12,6,1,1,2,7,2,20,2,1,1,2,2,,2,1,1,1,,2,2,3,1,2,3,2,1,1,1,2,2
6589,0.17,2,1,2,1,2,2,2,3,3,3,1,3,2,,,,,88,1,1,2,2,88,,,4,67,1,2,30,12,6,1,1,2,7,1,20,2,2,2,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,1,1,3,2
6609,0.2,2,1,2,1,1,3,4,3,3,3,,2,2,,,,,88,2,1,3,3,2,1,88,4,72,1,2,2,12,1,,2,2,7,8,6,2,2,1,2,2,,2,,1,1,,2,3,5,1,1,2,2,2,1,1,,2
6622,1.86,2,1,2,1,2,2,2,3,3,3,2,1,2,,,,,88,1,1,1,1,88,,,1,52,1,2,5,12,2,,2,2,7,3,7,2,1,2,2,2,,2,4,1,1,,2,2,3,1,2,3,2,1,2,1,4,2
6623,0.17,2,1,2,1,2,3,3,3,3,3,,,2,,,,,2,,1,1,,88,,,4,69,1,2,34,12,1,,1,2,7,8,11,2,2,2,2,2,,2,,1,1,,2,3,5,1,2,3,2,1,1,1,,2
6626,0.7,2,1,1,1,1,1,1,3,3,3,2,1,2,,,,,88,2,2,3,5,88,,,4,78,2,2,78,12,1,,1,2,7,3,8,2,2,2,2,2,,2,,1,1,,1,3,5,1,2,3,2,1,1,1,5,2
6721,0.79,3,1,1,1,1,1,1,3,3,3,2,2,2,,,,,88,1,1,1,2,30,2,88,4,72,2,2,14,12,1,,1,2,7,8,20,2,2,1,1,2,,1,,1,1,,1,3,5,1,2,3,2,1,1,1,,2
6725,0.62,7,1,2,1,1,2,2,,3,3,1,2,2,,,,,2,1,3,3,2,88,,,1,73,1,1,15,12,1,,2,2,7,8,5,,1,2,2,2,,2,,1,1,,2,3,5,1,2,3,2,2,2,2,3,2
6765,0.91,3,1,2,1,2,3,3,2,2,1,4,3,2,,,,,1,1,1,3,4,88,,,4,48,1,3,24,12,6,1,1,1,8,1,15,1,2,2,2,2,,2,1,1,1,,2,2,3,3,2,3,2,1,4,1,3,2
6772,0.77,8,1,1,1,1,1,1,3,3,3,3,1,2,,,,,88,,1,1,5,30,2,4,4,60,2,2,30,12,6,3,6,2,7,1,13,2,2,1,1,1,,1,6,2,1,,1,2,4,1,2,3,2,1,1,1,5,2
6844,0.54,7,1,2,1,1,1,1,3,3,3,1,1,2,,,,,88,1,2,3,3,4,1,88,4,93,1,1,73,12,1,,3,2,7,8,4,2,2,1,2,2,,2,,1,1,,2,3,5,1,1,2,2,2,1,1,3,2
6848,0.54,7,1,2,2,2,3,2,2,2,3,2,3,2,,,,,2,1,2,3,2,5,1,88,3,75,1,1,75,12,1,,3,2,7,6,3,2,1,1,2,2,,2,,1,1,,2,3,5,1,1,2,2,2,1,1,5,2
6871,0.77,8,1,1,1,2,3,3,3,3,2,2,1,2,,,,,3,1,2,2,2,4,1,88,3,56,2,2,30,12,6,1,1,2,7,1,17,2,1,1,2,2,,2,1,1,1,,1,2,4,1,2,3,2,1,1,1,3,2
6873,0.33,8,1,2,4,2,4,3,2,2,2,3,3,1,1,,,,5,1,1,3,2,14,1,88,4,66,1,1,31,12,1,,2,2,7,3,77,1,2,1,2,2,,2,,1,1,,2,3,5,1,,,2,2,2,4,,2
6874,0.3,8,1,2,3,3,3,4,3,3,3,3,4,2,,,,,88,2,2,2,2,4,2,88,3,54,1,2,20,12,6,1,1,2,7,1,16,2,1,1,2,2,,2,1,1,1,,2,2,3,1,2,3,2,3,4,1,3,2
6954,0.77,5,1,1,3,2,1,2,2,2,3,2,4,1,1,,,,10,1,2,2,3,12,3,1,3,44,2,5,13,12,6,1,1,2,7,1,99,2,1,1,1,1,,1,1,1,1,,1,2,2,1,,,2,2,3,3,4,2
6993,0.7,5,1,1,1,2,3,3,3,3,3,2,2,2,,,,,1,1,2,3,2,6,6,4,3,48,2,4,20,12,6,1,1,2,7,1,19,2,1,1,1,1,,1,1,1,1,,1,2,3,1,2,3,2,2,3,1,3,2
7010,0.37,5,1,2,3,3,3,3,2,3,3,3,4,2,,,,,10,1,2,3,2,4,1,88,1,64,1,3,20,12,6,2,1,2,7,1,13,2,1,1,2,2,,2,2,1,1,,2,2,4,1,2,3,2,2,4,3,4,2
7069,0.95,5,1,1,1,2,3,2,2,3,2,2,2,2,,,,,88,2,2,3,2,88,,,,74,2,1,48,12,1,,2,2,7,8,77,2,,2,2,2,,2,,1,1,,1,3,5,1,,,2,1,3,1,,2
7077,0.51,5,1,2,2,1,1,3,3,3,3,2,2,1,2,7,,,2,1,1,2,1,30,1,88,2,66,1,2,43,12,1,,1,2,7,8,99,2,1,1,2,2,,2,,1,1,,2,3,5,1,,,1,2,3,1,2,2
7214,0.7,5,1,1,1,1,1,2,3,3,3,1,2,2,,,,,88,1,1,3,2,10,2,1,4,48,2,5,48,12,6,1,1,2,7,3,20,2,2,1,2,1,,1,1,1,1,,1,2,3,1,2,3,2,1,1,1,2,2
7227,0.65,9,1,2,1,2,1,2,3,3,3,2,3,2,,,,,88,1,2,3,2,4,1,88,4,63,1,2,8,12,6,1,1,2,7,8,20,2,2,1,2,2,,2,1,1,1,,2,2,4,1,2,3,2,1,2,1,4,2
7245,0.79,3,1,1,1,2,3,2,3,3,3,1,2,2,,,,,88,1,1,3,2,88,,,4,77,2,1,30,12,1,,2,2,7,2,6,2,2,2,2,2,,2,,1,1,,1,3,5,1,2,3,2,1,2,2,4,2
7246,0.58,5,1,1,2,2,3,3,3,3,3,1,2,2,,,,,88,1,2,3,1,20,5,15,2,64,2,2,30,12,2,,1,2,7,3,5,2,1,1,1,1,,1,4,1,1,,1,2,4,1,1,2,2,2,2,1,2,2
7266,1.66,10,1,1,1,1,2,1,3,3,3,1,1,2,,,,,88,1,2,3,1,30,2,,,64,2,2,7,12,6,1,1,2,7,8,99,2,,1,1,,,1,1,1,1,,1,2,4,1,,,2,2,1,1,,2
9079,1.89,5,1,1,2,1,2,1,1,2,2,1,4,2,,,,,,2,3,1,4,4,,,3,65,2,2,24,12,6,1,1,2,5,1,9,1,1,1,,,,,,1,2,,1,3,5,4,2,3,2,2,3,2,1,2
9100,0.37,5,1,2,1,2,2,2,3,3,3,1,1,2,,,,,88,1,1,1,2,10,2,88,3,50,1,3,25,12,6,1,1,2,7,1,18,2,1,1,2,2,,2,1,1,2,,2,2,3,1,2,3,2,2,1,1,4,2
9104,0.37,5,1,2,1,2,1,2,3,3,3,2,2,2,,,,,5,1,1,1,1,88,,,1,47,1,4,23,12,6,1,2,2,7,1,20,2,1,2,2,2,,2,1,1,2,,2,2,3,1,2,3,2,2,1,1,1,2
9145,0.41,5,1,2,1,1,1,1,3,3,3,2,4,2,,,,,88,2,2,2,2,10,2,1,1,46,1,4,20,12,6,1,1,2,7,1,99,2,1,1,2,1,,1,1,1,2,,2,2,3,1,,,2,2,1,2,,2
9205,0.37,5,1,2,1,2,3,4,3,3,3,2,2,2,,,,,1,1,1,2,1,10,2,88,4,55,1,2,30,12,6,1,1,2,7,1,20,2,2,1,2,2,,2,1,1,2,,2,2,4,1,2,3,2,1,3,1,3,2
9208,0.82,5,1,2,2,2,3,2,3,2,3,4,3,1,1,,,,15,1,2,1,1,88,,,1,19,1,2,19,12,6,1,5,2,7,3,20,2,1,2,2,2,,2,1,1,2,,2,1,1,1,2,3,2,1,1,1,4,2
9245,0.46,6,1,2,3,2,3,3,2,3,3,3,4,2,,,,,2,1,1,3,2,10,1,88,4,42,1,4,17,12,6,1,1,2,7,2,17,2,2,1,2,2,,2,1,1,2,,2,2,2,1,2,3,2,3,3,2,5,2
9253,1,6,1,1,1,2,1,1,3,3,3,1,1,2,,,,,10,1,1,2,2,12,2,2,2,37,2,4,6,12,6,1,1,2,7,1,20,2,1,1,2,1,1,1,1,1,2,,1,1,2,1,2,3,2,1,2,1,3,2
9257,0.49,6,1,2,2,2,3,3,3,3,2,2,2,2,,,,,1,2,2,2,3,2,3,88,4,56,1,2,3,3,6,3,1,2,7,5,77,2,2,1,2,2,,2,6,2,2,,2,2,4,1,,,2,1,2,4,,2
9327,1.63,10,1,1,2,2,2,3,3,3,3,1,1,1,2,5,4,,2,1,1,2,3,4,2,88,4,59,2,2,35,10,6,3,1,2,7,3,16,2,2,1,2,2,,2,6,2,2,,1,2,4,1,2,3,1,2,1,2,3,2
9473,1.63,10,1,1,1,1,2,1,3,3,3,2,4,2,,,,,88,1,2,2,2,15,2,88,4,41,2,2,18,12,6,1,1,2,7,1,20,2,2,1,1,2,,1,1,1,2,,1,2,2,1,2,3,2,1,1,1,,2
9502,0.76,10,1,2,2,2,2,4,2,3,3,3,3,2,,,,,88,1,2,3,2,2,1,88,4,56,1,1,2,12,6,1,5,2,7,3,13,2,2,1,2,2,,2,1,1,2,,2,2,4,1,2,3,2,1,2,1,,2
9555,1.63,10,1,1,1,1,2,1,3,3,3,2,2,2,,,,,88,1,2,2,2,12,1,88,2,48,2,2,25,12,6,1,1,2,7,1,15,2,1,1,2,2,,2,1,1,2,,1,2,3,1,2,3,2,1,2,1,2,2
9559,0.76,10,1,2,2,2,1,1,2,2,3,5,5,2,,,,,5,1,1,1,1,2,1,88,3,57,1,3,30,12,1,,6,2,7,8,16,2,1,1,2,2,,2,3,1,2,,2,2,4,1,2,3,2,1,4,2,5,1
12302,0.48,3,1,2,3,2,2,2,3,3,3,2,1,1,1,,,,88,1,1,3,2,5,2,88,3,51,1,2,25,12,6,1,1,2,7,2,17,2,1,1,2,2,,2,1,1,2,,2,2,3,1,2,3,2,2,1,1,1,2
12340,0.48,3,1,2,1,2,1,1,3,3,3,1,2,2,,,,,88,1,1,2,2,30,2,6,2,60,1,2,34,12,6,1,1,2,7,3,16,2,1,1,1,1,,1,1,1,2,,2,2,4,1,2,3,2,1,1,1,4,2
12524,3.19,5,1,1,5,3,2,2,2,2,3,4,5,2,,,,,10,2,3,3,5,88,,,3,50,2,3,20,12,6,3,2,1,8,,77,2,1,2,2,2,,2,6,2,2,,1,2,3,3,,,2,3,5,3,5,2
12551,1.33,3,1,1,1,1,1,1,1,3,3,2,2,2,,,,,1,1,2,3,2,15,1,88,3,56,2,3,26,12,6,2,1,2,7,3,99,2,1,1,2,2,,2,2,1,2,,1,2,4,1,,,2,1,1,1,3,2
12614,0.28,3,1,2,1,3,3,2,2,3,3,2,3,2,,,,,88,1,1,1,1,25,2,88,4,70,1,2,5,10,1,,2,2,7,8,20,2,2,1,2,2,,2,,1,2,,2,3,5,1,2,3,2,1,2,1,,2
12716,0.48,3,1,2,2,2,3,3,3,3,3,2,2,1,1,,,,2,1,1,1,1,3,1,88,3,48,1,4,12,12,6,1,1,2,7,1,18,2,1,1,2,2,,2,1,1,2,,2,2,3,1,2,3,2,1,2,2,2,2
12749,0.52,3,1,2,1,1,3,2,3,3,2,2,4,1,1,,,,2,1,1,3,2,88,,,1,,1,2,15,12,1,,1,2,7,8,99,2,1,2,2,2,,2,,1,2,,2,,,1,,,2,1,2,2,,2
12790,1.5,6,1,2,3,3,1,2,2,2,2,4,4,1,2,7,11,6,15,2,2,2,2,88,,,1,31,1,5,2,12,6,3,1,1,7,6,6,1,1,2,2,2,,2,6,2,2,,2,1,1,3,1,2,1,2,4,3,5,2
12809,0.53,4,1,2,1,1,2,2,3,3,3,2,2,2,,,,,1,2,2,2,2,5,2,88,4,53,1,4,19,12,6,1,1,2,7,1,20,2,2,1,2,2,,2,1,1,2,,2,2,3,1,2,3,2,1,1,2,4,2
12943,0.37,5,1,2,1,2,2,3,2,3,3,1,1,2,,,,,88,1,1,3,2,1,2,88,2,57,1,3,40,12,6,2,1,2,7,3,17,2,1,1,2,2,,2,2,1,2,,2,2,4,1,2,3,2,1,3,1,1,2
13040,1.65,4,1,1,3,2,3,3,1,1,1,4,2,2,,,,,10,2,3,3,5,88,,,4,63,2,3,35,12,6,3,1,2,7,3,13,1,2,2,2,2,,2,6,2,2,,1,2,4,1,2,3,2,2,4,2,5,2
13054,1.65,4,1,1,2,2,1,1,3,3,3,1,1,2,,,,,88,1,1,3,1,30,3,2,3,56,2,2,22,12,6,3,1,2,7,3,19,2,1,1,1,1,,1,6,2,2,,1,2,4,1,2,3,2,1,1,1,1,2
13082,1.65,4,1,1,1,2,2,2,3,3,3,1,1,2,,,,,88,1,1,1,2,,,,4,58,2,1,20,12,6,3,2,2,7,3,16,2,2,,,,,,6,2,2,,1,2,4,1,2,3,2,2,1,1,3,2
13106,0.66,4,1,2,1,2,2,2,3,3,2,2,3,2,,,,,2,1,1,2,2,5,3,88,2,70,1,1,33,12,1,,3,2,7,3,7,2,1,1,2,2,,2,,1,2,,2,3,5,1,2,3,2,1,1,2,4,2
13141,0.66,4,1,2,2,2,1,1,3,3,3,1,1,2,,,,,2,1,1,3,2,88,,,4,69,1,3,25,12,6,1,1,2,7,1,20,2,2,2,2,2,,2,,1,2,,2,3,5,1,2,3,2,1,2,2,2,2
13209,0.67,4,1,2,1,2,2,2,3,2,2,2,1,2,,,,,88,1,2,2,1,10,1,88,2,68,1,3,27,12,1,,1,2,7,8,99,2,1,1,2,2,,2,,1,2,,2,3,5,1,,,2,1,1,1,2,2
13260,2.16,4,1,1,1,1,1,2,2,2,3,2,4,1,1,,,,2,1,1,1,2,30,3,5,1,36,2,3,7,7,6,2,2,2,7,3,15,2,1,1,1,1,1,1,2,1,2,,1,1,2,1,2,3,2,1,2,1,2,2
13266,1,6,1,1,3,2,2,3,1,2,2,2,2,1,2,11,10,,10,1,2,3,1,5,2,88,1,26,2,2,19,11,6,1,5,2,7,2,7,1,1,1,2,2,2,2,1,1,2,,1,1,1,1,2,3,1,1,3,2,5,2
13275,0.53,4,1,2,1,2,2,3,3,3,3,4,5,1,1,,,,2,1,1,3,2,12,1,88,4,48,1,3,48,12,6,3,1,2,7,3,16,2,2,1,2,2,,2,6,2,2,,2,2,3,1,2,3,2,1,1,2,5,2
13287,1.81,3,1,1,1,2,2,2,3,3,3,3,2,1,1,,,,88,1,1,2,1,2,10,2,1,37,2,4,11,11,6,1,1,2,7,1,15,2,1,1,2,1,1,1,1,1,2,,1,1,2,1,2,3,2,1,1,1,,2
13309,0.64,10,1,2,1,1,3,3,3,3,3,2,3,2,,,,,88,2,3,2,3,2,1,88,2,30,1,1,7,12,6,3,5,2,7,3,5,2,1,1,2,2,,2,6,2,2,,2,1,1,1,2,3,2,1,2,1,,2
13558,0.69,4,1,2,1,2,2,2,3,3,3,2,3,1,1,,,,88,1,1,3,2,88,,,4,39,1,3,10,12,6,1,1,2,7,1,19,2,2,2,2,2,,2,1,1,2,,2,1,2,1,2,3,2,1,1,2,5,2
13631,1.16,3,1,2,1,2,2,2,1,2,3,2,1,1,1,,,,10,1,2,1,3,2,2,88,4,28,1,3,9,12,2,,1,1,7,6,77,1,2,1,2,2,,2,4,1,2,,2,1,1,3,,,2,2,1,1,2,2
13670,0.73,6,1,1,1,2,2,2,3,3,3,1,1,2,,,,,88,1,1,1,2,5,2,1,4,67,2,2,33,12,1,,1,2,7,3,16,2,2,1,2,1,,1,,1,2,,1,3,5,1,2,3,2,1,1,1,3,2
13707,1.65,4,1,1,1,1,1,1,3,3,3,1,1,2,,,,,88,1,1,1,3,10,2,88,2,50,2,4,28,12,6,1,1,2,7,1,20,2,1,1,2,2,,2,1,1,2,,1,2,3,1,2,3,2,1,1,1,3,2
